波士頓塞爾蒂克,Brad Stevens,東區聯盟,2,73.1%
12月 21日,印第安納溜馬,105,119
12月 18日,夏洛特黃蜂,102,110
12月 16日,金州勇士,100,79
12月 14日,紐約尼克,101,103
12月 12日,奧克拉荷馬城雷霆,94,93
100.4
達拉斯獨行俠,Rick Carlisle,西區聯盟,4,67.9%
Luka,Doncic,前鋒-後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629029.png
Kristaps,Porzingis,前鋒-中鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204001.png
Dorian,Finney-Smith,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627827.png
Tim,Hardaway Jr.,後衛-前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203501.png
Dwight,Powell,前鋒-中鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203939.png
12月 23日,多倫多暴龍,4:30,0
12月 21日,費城76人,117,98
12月 19日,波士頓塞爾蒂克,103,109
12月 17日,密爾瓦基公鹿,120,116
12月 15日,邁阿密熱火,118,122
12月 13日,底特律活塞,122,111
116.0
休士頓火箭,Mike D'Antoni,西區聯盟,5,67.9%
James,Harden,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201935.png
P.J.,Tucker,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200782.png
Russell,Westbrook,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201566.png
Clint,Capela,中鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203991.png
Danuel,House Jr.,前鋒-後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627863.png
12月 22日,鳳凰城太陽,10:00,0
12月 20日,洛杉磯快艇,122,117
12月 17日,聖安東尼奧馬刺,109,107
12月 15日,底特律活塞,107,115
12月 14日,奧蘭多魔術,130,107
12月 12日,克里夫蘭騎士,116,110
116.8
曼菲斯灰熊,Taylor Jenkins,西區聯盟,13,34.5%
Jae,Crowder,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203109.png
Ja,Morant,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629630.png
Dillon,Brooks,後衛-前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628415.png
Jaren,Jackson Jr.,前鋒-中鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628991.png
Jonas,Valanciunas,中鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202685.png
12月 22日,沙加緬度國王,9:00,0
12月 21日,克里夫蘭騎士,107,114
12月 19日,奧克拉荷馬城雷霆,122,126
12月 17日,邁阿密熱火,118,111
12月 15日,華盛頓巫師,128,111
